date,count
2019-03-17,50
2019-03-18,57
2019-03-19,77
2019-03-20,39
2019-03-21,81
2019-03-22,75
2019-03-23,45
2019-03-24,21
2019-03-25,24
2019-03-26,38
2019-03-27,34
2019-03-28,35
2019-03-29,32
2019-03-30,15
2019-03-31,82
2019-04-01,59
2019-04-02,26
2019-04-03,57
2019-04-04,30
2019-04-05,44
2019-04-06,55
2019-04-07,31
2019-04-08,41
2019-04-09,36
2019-04-10,39
2019-04-11,60
2019-04-12,42
2019-04-13,37
2019-04-14,16
2019-04-15,9
2019-04-16,16
2019-04-17,55
2019-04-18,59
2019-04-19,27
2019-04-20,31
2019-04-21,19
2019-04-22,28
2019-04-23,31
2019-04-24,29
2019-04-25,38
2019-04-26,38
2019-04-27,39
2019-04-28,59
2019-04-29,94
2019-04-30,29
2019-05-01,47
2019-05-02,41
2019-05-03,83
2019-05-04,52
2019-05-05,10
2019-05-06,39
2019-05-07,30
2019-05-08,33
2019-05-09,26
2019-05-10,31
2019-05-11,54
2019-05-12,28
2019-05-13,56
2019-05-14,204
2019-05-15,123
2019-05-16,60
2019-05-17,148
2019-05-18,35
2019-05-19,23
2019-05-20,33
2019-05-21,55
2019-05-22,54
2019-05-23,72
2019-05-24,55
2019-05-25,54
2019-05-26,24
2019-05-27,42
2019-05-28,53
2019-05-29,49
2019-05-30,44
2019-05-31,15
2019-06-01,30
2019-06-02,120
2019-06-03,69
2019-06-04,82
2019-06-05,101
2019-06-06,65
2019-06-07,24
2019-06-08,86
2019-06-09,40
2019-06-10,48
2019-06-11,36
2019-06-12,42
2019-06-13,76
2019-06-14,29
2019-06-15,31
2019-06-16,47
2019-06-17,104
2019-06-18,114
2019-06-19,86
2019-06-20,103
2019-06-21,78
2019-06-22,49
2019-06-23,40
2019-06-24,30
2019-06-25,130
2019-06-26,86
2019-06-27,217
2019-06-28,198
2019-06-29,30
2019-06-30,86
2019-07-01,53
2019-07-02,61
2019-07-03,119
2019-07-04,36
2019-07-05,125
2019-07-06,35
2019-07-07,83
2019-07-08,32
2019-07-09,98
2019-07-10,196
2019-07-11,48
2019-07-12,91
2019-07-13,25
2019-07-14,176
2019-07-15,61
2019-07-16,38
2019-07-17,62
2019-07-18,74
2019-07-19,56
2019-07-20,39
2019-07-21,26
2019-07-22,59
2019-07-23,26
2019-07-24,27
2019-07-25,70
2019-07-26,153
2019-07-27,17
2019-07-28,15
2019-07-29,21
2019-07-30,66
2019-07-31,22
2019-08-01,108
2019-08-02,57
2019-08-03,16
2019-08-04,36
2019-08-05,46
2019-08-06,75
2019-08-07,67
2019-08-08,45
2019-08-09,28
2019-08-10,10
2019-08-11,38
2019-08-12,94
2019-08-13,23
2019-08-14,147
2019-08-15,21
2019-08-16,127
2019-08-17,38
2019-08-18,14
2019-08-19,56
2019-08-20,98
2019-08-21,25
2019-08-22,42
2019-08-23,48
2019-08-24,28
2019-08-25,37
2019-08-26,44
2019-08-27,33
2019-08-28,36
2019-08-29,20
2019-08-30,25
2019-08-31,25
