Date,Open,High,Low,Close,Adj Close,Volume
2015-10-23,0.763068,0.766742,0.757834,0.763009,0.763009,0
2015-10-26,0.759169,0.761615,0.758553,0.759175,0.759175,0
2015-10-27,0.760069,0.760167,0.754808,0.760109,0.760109,0
2015-10-28,0.753597,0.761499,0.753120,0.753579,0.753579,0
2015-10-29,0.757857,0.761267,0.755498,0.758093,0.758093,0
2015-10-30,0.759994,0.764281,0.758185,0.759936,0.759936,0
2015-11-02,0.764935,0.765521,0.762503,0.764959,0.764959,0
2015-11-03,0.763709,0.764584,0.759901,0.763767,0.763767,0
2015-11-04,0.765380,0.766695,0.760242,0.765439,0.765439,0
2015-11-05,0.760225,0.761035,0.758489,0.760173,0.760173,0
2015-11-06,0.759763,0.760167,0.751512,0.759763,0.759763,0
2015-11-09,0.752106,0.755002,0.751349,0.752106,0.752106,0
2015-11-10,0.753807,0.754831,0.752355,0.753812,0.753812,0
2015-11-11,0.753920,0.755664,0.752955,0.754045,0.754045,0
2015-11-12,0.754540,0.756144,0.749732,0.754546,0.754546,0
2015-11-13,0.752848,0.753750,0.749356,0.752899,0.752899,0
2015-11-16,0.750875,0.752502,0.748094,0.750751,0.750751,0
2015-11-17,0.750058,0.751942,0.749451,0.750188,0.750188,0
2015-11-18,0.750920,0.752049,0.749125,0.750886,0.750886,0
2015-11-19,0.751936,0.754945,0.751897,0.751936,0.751936,0
2015-11-20,0.752168,0.753523,0.750075,0.752140,0.752140,0
2015-11-23,0.748688,0.749906,0.744325,0.748716,0.748716,0
2015-11-24,0.748447,0.750920,0.747692,0.748486,0.748486,0
2015-11-25,0.751580,0.753125,0.749816,0.751710,0.751710,0
2015-11-26,0.752066,0.752842,0.750644,0.752038,0.752038,0
2015-11-27,0.752276,0.752445,0.748022,0.752196,0.752196,0
2015-11-30,0.748111,0.751010,0.746709,0.748111,0.748111,0
2015-12-01,0.749103,0.751371,0.747228,0.749131,0.749131,0
2015-12-02,0.748503,0.750368,0.745957,0.748503,0.748503,0
2015-12-03,0.749120,0.752049,0.746770,0.749182,0.749182,0
2015-12-04,0.749288,0.750689,0.745462,0.749238,0.749238,0
2015-12-07,0.746938,0.747161,0.740094,0.746938,0.746938,0
2015-12-08,0.740242,0.740527,0.734355,0.740280,0.740280,0
2015-12-09,0.736404,0.739765,0.735078,0.736410,0.736410,0
2015-12-10,0.737028,0.738989,0.735879,0.737083,0.737083,0
2015-12-11,0.733471,0.733514,0.729384,0.733514,0.733514,0
2015-12-14,0.728014,0.730978,0.725684,0.728014,0.728014,0
2015-12-15,0.728544,0.731358,0.726940,0.728497,0.728497,0
2015-12-16,0.728491,0.728513,0.722601,0.728417,0.728417,0
2015-12-17,0.724990,0.725637,0.716615,0.725163,0.725163,0
2015-12-18,0.717937,0.719590,0.714449,0.718184,0.718184,0
2015-12-21,0.717072,0.718752,0.715410,0.717051,0.717051,0
2015-12-22,0.716830,0.718566,0.716153,0.716753,0.716753,0
2015-12-23,0.718442,0.721464,0.717705,0.718442,0.718442,0
2015-12-24,0.721839,0.723694,0.720804,0.721917,0.721917,0
2015-12-25,0.723647,0.724559,0.723197,0.723197,0.723197,0
2015-12-28,0.722575,0.723380,0.718701,0.722700,0.722700,0
2015-12-29,0.719730,0.723217,0.717381,0.719735,0.719735,0
2015-12-30,0.722768,0.723275,0.718112,0.722857,0.722857,0
2015-12-31,0.720788,0.722794,0.719404,0.720877,0.720877,0
2016-01-01,0.719440,0.722951,0.719440,0.719440,0.719440,0
2016-01-04,0.720788,0.722126,0.717360,0.721267,0.721267,0
2016-01-05,0.717551,0.719632,0.715221,0.717654,0.717654,0
2016-01-06,0.714929,0.715359,0.708823,0.715103,0.715103,0
2016-01-07,0.710934,0.711642,0.705771,0.710853,0.710853,0
2016-01-08,0.709054,0.711172,0.706754,0.709119,0.709119,0
2016-01-11,0.705169,0.710884,0.704722,0.705020,0.705020,0
2016-01-12,0.703136,0.705328,0.700408,0.703136,0.703136,0
2016-01-13,0.701459,0.704871,0.700334,0.701508,0.701508,0
2016-01-14,0.696811,0.697515,0.694734,0.696816,0.696816,0
2016-01-15,0.697204,0.697253,0.687474,0.697126,0.697126,0
2016-01-18,0.685857,0.690274,0.685857,0.685965,0.685965,0
2016-01-19,0.687564,0.692953,0.687238,0.687545,0.687545,0
2016-01-20,0.686488,0.689955,0.680860,0.686662,0.686662,0
2016-01-21,0.691037,0.697569,0.687890,0.690846,0.690846,0
2016-01-22,0.700771,0.708356,0.699447,0.700732,0.700732,0
2016-01-25,0.707014,0.707965,0.702553,0.707184,0.707184,0
2016-01-26,0.699364,0.710369,0.698129,0.699496,0.699496,0
2016-01-27,0.708245,0.712048,0.706464,0.708316,0.708316,0
2016-01-28,0.709336,0.716944,0.708100,0.709482,0.709482,0
2016-01-29,0.712504,0.715789,0.710046,0.712540,0.712540,0
